"model_slug","max_context","8k_pct","8k_ci95_lower_pct","8k_ci95_upper_pct","16k_pct","16k_ci95_lower_pct","16k_ci95_upper_pct","32k_pct","32k_ci95_lower_pct","32k_ci95_upper_pct","64k_pct","64k_ci95_lower_pct","64k_ci95_upper_pct","128k_pct","128k_ci95_lower_pct","128k_ci95_upper_pct","256k_pct","256k_ci95_lower_pct","256k_ci95_upper_pct","512k_pct","512k_ci95_lower_pct","512k_ci95_upper_pct","1M_pct","1M_ci95_lower_pct","1M_ci95_upper_pct","auc_128k_pct","auc_1m_pct","tok_eff","cost_128k","cost_1m"
"google/gemini-3.1-flash-lite-preview","1048576","41.18","29.91","51.68","34.48","24.77","44.27","18.65","12.85","24.81","21.33","14.24","29.55","18.79","12.38","26.01","19.96","14.19","25.97","14.02","10.49","17.90","9.30","6.88","11.94","22.09","15.21","1.0000","6.4157","128.2196"
"deepseek/deepseek-v4-flash","1048576","47.20","36.12","57.79","31.78","22.14","41.49","17.67","12.20","23.62","26.73","18.71","35.80","17.67","11.84","24.38","22.39","16.26","28.58","17.95","13.69","22.52","","","","23.69","14.93","0.9971","3.4771","25.9151"
"xiaomi/mimo-v2.5","1048576","40.97","29.78","51.52","29.50","20.81","39.21","26.96","20.03","33.67","28.09","19.30","37.39","23.73","16.70","31.31","23.45","17.16","29.78","13.60","10.20","17.52","","","","27.27","14.29","1.0024","10.1742","138.3277"
"xiaomi/mimo-v2.5-pro","1048576","47.33","36.12","57.81","27.29","18.58","36.89","24.46","18.23","30.88","38.44","28.36","48.66","23.46","16.58","30.98","18.63","13.00","24.75","13.87","10.32","17.72","","","","30.83","13.88","1.0025","25.0768","345.1746"
"xiaomi/mimo-v2-pro","1048576","72.24","62.39","80.86","54.65","43.60","64.72","35.62","27.98","43.17","32.40","23.15","41.78","26.37","18.88","33.98","21.52","15.35","27.75","9.84","7.04","13.06","","","","34.99","13.58","1.0024","25.8483","346.5917"
"openai/gpt-5.4-nano","400000","85.73","77.65","92.65","64.64","54.75","74.35","54.11","46.02","62.24","35.63","26.34","45.91","30.41","22.55","38.76","32.99","25.53","40.96","","","","","","","42.50","13.17","0.9811","13.1847","20.4803"
"xiaomi/mimo-v2-pro","1048576","46.17","34.85","56.63","28.67","19.99","38.34","26.43","19.87","33.18","30.29","21.16","40.30","19.62","13.09","26.35","23.48","17.15","29.81","9.03","6.33","12.04","","","","27.04","12.28","1.0024","25.0681","345.1534"
"openai/gpt-5.4-mini","400000","68.80","59.12","78.31","70.83","61.07","79.70","51.82","43.88","59.54","31.78","22.66","41.67","29.99","22.07","38.12","28.27","21.28","35.16","","","","","","","40.45","12.01","0.9809","27.0705","57.6443"
"openai/gpt-5.4-mini","400000","77.05","67.54","85.59","62.46","51.99","72.16","50.90","42.97","58.56","37.25","27.57","47.25","32.96","24.28","41.69","25.19","18.04","31.85","","","","","","","42.69","11.88","0.9809","55.5000","82.5897"
"x-ai/grok-4.20","2000000","36.59","26.72","46.76","24.22","15.81","32.79","18.74","12.92","24.90","12.58","7.07","19.48","13.11","8.21","18.85","10.42","6.94","14.52","11.82","8.82","15.25","9.27","6.82","12.00","15.92","11.48","0.9521","47.7740","1893.7158"
"openai/gpt-5.4-mini","400000","67.68","57.65","77.09","54.74","43.74","64.81","49.47","41.59","57.52","34.68","25.37","44.96","34.84","26.07","43.58","23.00","16.73","29.18","","","","","","","40.78","11.36","0.9809","22.6552","52.5440"
"openai/gpt-5.4-nano","400000","74.48","64.85","83.11","48.85","37.79","58.86","35.62","27.99","43.15","22.33","15.12","30.52","22.16","15.34","29.13","26.34","19.97","32.85","","","","","","","29.33","9.84","0.9809","6.0673","13.7316"
"minimax/minimax-m3","1048576","92.42","86.28","97.35","68.94","59.12","77.65","52.21","44.15","59.89","35.44","26.17","45.59","17.44","11.63","24.14","18.56","13.02","24.62","","","","","","","39.24","9.24","0.9662","0.0000","0.0000"
"moonshotai/kimi-k2.6","262144","95.14","89.08","98.79","80.57","70.88","89.06","68.25","59.93","75.50","46.25","35.74","56.61","38.96","29.81","48.09","","","","","","","","","","53.77","8.80","0.9943","27.9833","27.9833"
"openai/gpt-5.4-mini","400000","63.63","52.79","73.31","55.70","44.80","66.04","35.75","28.06","43.30","25.97","17.94","34.98","23.16","16.20","30.12","18.06","12.64","24.07","","","","","","","31.40","8.58","0.9809","19.5734","47.4862"
"openai/gpt-5.4-nano","400000","61.35","50.65","71.15","38.01","27.17","48.88","27.16","20.30","33.88","23.29","15.43","31.65","21.56","14.93","28.31","20.18","14.47","26.13","","","","","","","26.35","8.28","0.9809","5.6925","13.2161"
